# Hitter Rankings — add columns freely. Run: python3 scripts/bake_manual.py
# Source: https://pitcherlist.com/top-300-hitters-for-fantasy-baseball-2026/
Name,HL_Rank,HL_Tier,HL_Pos,AVG
Lars Nootbaar,154,15,OF,0.249
Spencer Horwitz,155,15,1B,0.264
Jung Hoo Lee,156,15,OF,0.273
Addison Barger,157,15,3B/OF,0.249
Adolis García,158,15,OF,0.237
Gavin Sheets,159,15,1B/OF,0.244
Nolan Schanuel,160,15,1B,0.27
Jordan Westburg,161,16,2B/3B,0.264
J.P. Crawford,162,16,SS,0.242
Cedric Mullins,163,16,OF,0.227
TJ Friedl,164,16,OF,0.249
Mike Yastrzemski,165,16,OF,0.23
Colton Cowser,166,16,OF,0.23
Miguel Vargas,167,16,1B/3B,0.136
Jeff McNeil,168,16,2B/OF,0.264
Marcell Ozuna,169,16,DH,0.244
Sal Frelick,170,16,OF,0.271
Spencer Steer,172,16,1B/OF,0.237
Masyn Winn,173,16,SS,0.261
Josh Jung,174,17,3B,0.254
Ernie Clement,175,17,1B/2B/3B/SS,0.274
Brandon Marsh,176,17,OF,0.252
Matt Wallner,177,17,OF,0.229
Colt Keith,178,17,1B/2B/3B,0.262
Brooks Lee,179,17,2B/3B/SS,0.252
Austin Wells,181,17,C,0.229
Anthony Volpe,182,17,SS,0.231
Nolan Gorman,183,17,2B/3B,0.218
JJ Wetherholt,184,17,SS,0.255
Josh Lowe,185,17,OF,0.244
Chase DeLauter,186,17,OF,0.251
Joey Ortiz,187,17,SS,0.25
Dylan Beavers,188,17,OF,0.243
Jared Triolo,189,17,1B/3B/SS,0.241
Mark Vientos,190,17,1B/3B,0.248
Jesús Sánchez,191,17,OF,0.249
Mickey Moniak,192,17,OF,0.258
Josh Bell,194,17,1B,0.252
Harrison Bader,195,17,OF,0.248
Justin Crawford,197,18,OF,0.267
Ryan Jeffers,198,18,C,0.245
Rhys Hoskins,199,18,1B,0.224
Andrés Giménez,201,18,2B,0.253
Evan Carter,203,18,OF,0.244
Jorge Soler,204,18,OF,0.228
Jordan Walker,205,18,OF,0.245
Zach McKinstry,206,18,3B/SS/OF,0.234
Brett Baty,207,18,2B/3B,0.248
Isaac Collins,208,18,OF,0.245
Kyle Teel,210,18,C,0.247
Edgar Quero,211,19,C,0.259
Tyler Stephenson,212,19,C,0.234
Connor Norby,214,19,3B,0.241
Andrew Benintendi,215,19,OF,0.254
Jake Cronenworth,217,19,2B,0.236
Moisés Ballesteros,218,19,DH,0.266
Bo Naylor,221,19,C,0.22
Victor Scott II,222,19,OF,0.227
Jonathan India,223,19,2B/3B/OF,0.248
Trevor Larnach,224,19,OF,0.248
Lane Thomas,225,19,OF,0.237
Ryan McMahon,229,19,3B,0.211
Carter Jensen,235,19,C,0.248
Max Clark,241,20,OF,0.234
Josh Smith,242,20,1B/3B/SS,0.246
Nolan Arenado,243,20,3B,0.257
Ha-Seong Kim,244,20,SS,0.245
Lourdes Gurriel Jr.,247,20,OF,0.268
Gavin Lux,255,20,OF,0.25
Jordan Lawlar,260,20,3B,0.242
Joc Pederson,264,21,UT,0.24
Brayan Rocchio,265,21,2B/SS,0.242
Jake Meyers,269,21,OF,0.253
Tommy Edman,274,21,2B/3B/OF,0.25
Freddy Fermin,276,21,C,0.249
Joshua Baez,283,21,OF,0.233
Edouard Julien,288,21,1B/2B,0.241
Brady House,289,21,3B,0.244
Luis Rengifo,295,21,2B/3B,0.252
Spencer Jones,297,21,OF,0.216
Nick Castellanos,299,21,OF,0.247
JJ Bleday,300,21,OF,0.233
Tyler O'Neill,,,,0.233
Ke'Bryan Hayes,,,,0.249
Pavin Smith,,,,0.237
Logan O'Hoppe,,,,0.23
Yoán Moncada,,,,0.24
Kyle Isbel,,,,0.25
Jurickson Profar,,,,0.253
Kemp Alderman,,,,0.236
Nacho Alvarez Jr.,,,,0.24
Michael Arroyo,,,,0.22
Warming Bernabel,,,,0.25
Leonardo Bernal,,,,0.224
Henry Bolte,,,,0.229
Enrique Bradfield Jr.,,,,0.229
Josue Briceño,,,,0.225
Michael Conforto,,,,0.228
Kaelen Culpepper,,,,0.244
Bo Davidson,,,,0.237
Deyvison De Los Santos,,,,0.235
Josue De Paula,,,,0.206
Leo De Vries,,,,0.226
Adrian Del Castillo,,,,0.236
Christian Encarnacion-Strand,,,,0.243
Thairo Estrada,,,,0.248
Yanquiel Fernández,,,,0.239
Ty France,,,,0.255
Mitch Garver,,,,0.207
Angel Genao,,,,0.245
Paul Goldschmidt,,,,0.255
Gabriel Gonzalez,,,,0.261
Jonah Heim,,,,0.23
Enrique Hernández,,,,0.231
Cooper Ingle,,,,0.231
Max Kepler,,,,0.238
Hao-Yu  Lee,,,,0.227
Nathaniel Lowe,,,,0.245
Jesús Made,,,,0.21
Lazaro Montes,,,,0.209
Tommy Pham,,,,0.245
Cooper Pratt,,,,0.22
Nelson Rada,,,,0.233
Jacob Reimer,,,,0.225
Héctor Rodríguez,,,,0.251
Ethan Salas,,,,0.21
Gary Sánchez,,,,0.218
Mike Tauchman,,,,0.234
Rowdy Tellez,,,,0.233
Sterlin Thompson,,,,0.255
Michael Toglia,,,,0.204
Ramón Urías,,,,0.252
Esmerlyn Valdez,,,,0.23
Ralphy Velazquez,,,,0.229
Sebastian Walcott,,,,0.231
Ryan Ward,,,,0.22
Brock Wilken,,,,0.196
