"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","IP","W","ERA","WHIP","K","SVH","GP"
"*025it*","Jason Adam","SD","RP","89","FA","","77.34","49%","-3%","59","3","3.20","1.102","67","28","62"
"*01spo*","Gerrit Cole","NYY","SP","90","FA","@SF Wed 8:05PM","76.95","98%","0%","110","9","3.27","1.073","119","0","18"
"*02n4s*","Matthew Boyd","CHC","SP","93","FA","","76.61","97%","0%","159","11","3.68","1.157","144","0","29"
"*06mi0*","Bryan King","HOU","RP","94","FA","","76.56","39%","-2%","69","4","3.26","1.101","70","24","67"
"*031fj*","Gabe Speier","SEA","RP","96","FA","","76.37","38%","-2%","66","4","3.41","1.091","80","22","79"
"*03qwa*","Phil Maton","CHC","RP","98","FA","","76.29","41%","-2%","64","4","3.38","1.125","78","24","66"
"*04enz*","Robert Garcia","TEX","RP","99","FA","","76.29","74%","+1%","61","3","3.69","1.148","70","36","69"
"*05y2l*","Emmet Sheehan","LAD","SP","100","FA","","76.25","98%","0%","125","9","3.74","1.088","155","0","23"
"*043ia*","Adrian Morejon","SD","RP","102","FA","","75.92","58%","-3%","66","4","3.14","1.121","64","24","68"
"*03et8*","Ranger Suarez","BOS","SP","103","FA","","75.86","99%","0%","163","12","3.59","1.239","148","0","27"
"*05y23*","Tanner Bibee","CLE","SP","105","FA","","75.77","99%","0%","181","11","3.78","1.210","172","0","31"
"*04pmb*","Kris Bubic","KC","SP","106","FA","","75.77","98%","0%","154","10","3.56","1.214","158","0","26"
"*04em6*","Will Vest","DET","RP","107","FA","","75.72","68%","-3%","67","4","3.36","1.179","67","29","67"
"*0512m*","Ryan Pepiot","TB","SP","111","FA","","75.37","99%","0%","172","11","3.87","1.192","174","0","32"
"*06luc*","Jack Dreyer","LAD","SP,RP","116","FA","","75.18","33%","-2%","71","4","3.17","1.099","70","20","67"
"*04tzu*","Ronny Henriquez","MIA","RP","117","FA","","74.99","44%","-4%","70","3","3.73","1.229","80","38","63"
"*02bqy*","Joe Musgrove","SD","SP","118","FA","","74.92","91%","0%","129","9","3.56","1.124","133","0","24"
"*05jpd*","Ian Seymour","TB","SP,RP","120","FA","","74.81","83%","-1%","141","10","3.57","1.191","145","0","28"
"*03dau*","Trevor Megill","MIL","RP","122","FA","","74.54","97%","0%","47","3","3.45","1.191","58","35","51"
"*041qo*","Zac Gallen","ARI","SP","123","FA","","74.54","98%","0%","182","12","3.91","1.236","175","0","32"
"*02btx*","Tyler Glasnow","LAD","SP","124","FA","","74.54","99%","0%","120","9","3.67","1.142","146","0","22"
"*03mnq*","Carlos Estevez","KC","RP","125","FA","","74.51","97%","0%","63","3","3.57","1.190","56","37","64"
"*05ge9*","Shota Imanaga","CHC","SP","126","FA","","74.5","99%","0%","159","11","3.85","1.119","142","0","27"
"*05aoc*","Eury Perez","MIA","SP","127","FA","","74.46","99%","0%","140","9","3.73","1.171","161","0","24"
"*03deg*","Justin Steele","CHC","SP","129","FA","","74.03","87%","-1%","138","10","3.65","1.181","139","0","24"
"*05mre*","Spencer Strider","ATL","SP","130","FA","","74.01","100%","0%","158","11","4.04","1.222","215","0","28"
"*02iug*","Michael Wacha","KC","SP","132","FA","","73.84","82%","0%","171","11","3.63","1.216","137","0","30"
"*062ob*","Jose Ferrer","SEA","RP","134","FA","","73.73","39%","-3%","76","4","3.20","1.105","72","18","72"
"*03qo0*","Pete Fairbanks","MIA","RP","136","FA","","73.52","94%","0%","58","3","3.57","1.172","62","31","58"
"*04naz*","Tyler Holton","DET","SP,RP","137","FA","","73.48","28%","-1%","76","4","3.43","1.079","64","21","61"
