,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Inflation Rate: 1.00 for Hitters / 1.00 for Pitchers,,,,,,,,,,,,Set your view options below:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bidding Team,,,,,,,,,,,,,,,Sort by Original Projected Auction Value,,,,,,,,,,,
,Player Auctioned,,,,,,,,,,,,,,,Show All Positions,,,,,,,,,,,
,Winning Bid $,,,,,,,,,,,,,,,Show Drafted Players,,,,,,,,,,,
,,(0 total players drafted),,,,,,,,,,,,,,Show Stats,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,,,,,,Proj $ Value,Inflated Proj $,Site $ Value,Inflated Site $,,,,W,Sv + Hld,K,ERA,WHIP,,,,,,,
Drafted By,Cost,,(Clicking on an undrafted player moves them to the box above),Note,Age,Tm,Main Pos,Other Elig Pos,,,,,Exp Rank,Total WERTH,Pos Adj WERTH,OBP,HR,2B + 3B,R + RBI - HR,SB,,,,,,,
,,,Kyle Schwarber,,32,PHI,DH,,$19,$19,$20,$20,21,2.7,5.8,.356,41,21,153,7,,,,,,,
,,,Nick Kurtz,,22,ATH,1B,,$19,$19,$17,$17,18,1.8,5.7,.351,35,27,139,3,,,,,,,
,,,Zach Neto,,25,LAA,SS,,$18,$18,$15,$15,30,2.0,5.6,.315,27,32,129,26,,,,,,,
,,,Geraldo Perdomo,,26,ARI,SS,,$18,$18,$9,$9,72,2.0,5.6,.367,13,31,132,21,,,,,,,
,,,Yoshinobu Yamamoto,,27,LAD,SP,,$18,$18,$13,$13,28,3.3,5.3,12,0,177,3.34,1.13,,,,,,,
,,,Wyatt Langford,,24,TEX,OF,,$18,$18,$12,$12,48,2.1,5.4,.345,23,31,128,21,,,,,,,
,,,George Kirby,,28,SEA,SP,,$17,$17,$11,$11,56,3.1,5.1,11,0,163,3.49,1.08,,,,,,,
,,,Cole Ragans,,28,KC,SP,,$17,$17,$11,$11,45,3.1,5.1,10,0,184,3.29,1.11,,,,,,,
,,,CJ Abrams,,25,WSN,SS,,$17,$17,$10,$10,60,1.6,5.2,.300,20,35,129,30,,,,,,,
,,,Ketel Marte,,32,ARI,2B,,$17,$17,$15,$15,26,1.9,5.1,.361,26,32,133,5,,,,,,,
,,,Josh Naylor,,28,SEA,1B,,$16,$16,$11,$11,58,0.9,4.8,.348,23,27,130,18,,,,,,,
,,,Roman Anthony,,21,BOS,OF,,$15,$15,$9,$9,49,1.2,4.5,.371,18,32,125,9,,,,,,,
,,,Dylan Cease,,30,TOR,SP,,$15,$15,$8,$8,65,2.4,4.4,12,0,210,3.60,1.18,,,,,,,
,,,Framber Valdez,,32,DET,SP,,$14,$14,$9,$9,74,2.3,4.2,13,0,175,3.41,1.21,,,,,,,
,,,Riley Greene,,25,DET,OF,,$14,$14,$13,$13,54,1.1,4.3,.344,28,29,142,3,,,,,,,
,,,Nathan Eovaldi,,36,TEX,SP,,$14,$14,$9,$9,121,2.3,4.2,10,0,143,3.44,1.08,,,,,,,
,,,Mason Miller,,27,SD,RP,,$14,$14,$11,$11,53,1.0,4.2,4,32,105,2.51,0.97,,,,,,,
,,,Yordan Alvarez,,28,HOU,OF,,$14,$14,$18,$18,27,1.0,4.2,.387,28,28,118,3,,,,,,,
,,,Hunter Greene,,26,CIN,SP,,$14,$14,$11,$11,44,2.1,4.1,10,0,189,3.71,1.10,,,,,,,
,,,Manny Machado,,33,SD,3B,,$14,$14,$12,$12,31,0.0,4.2,.333,26,27,133,9,,,,,,,
,,,Vinnie Pasquantino,,28,KC,1B,,$14,$14,$10,$10,70,0.2,4.1,.332,27,32,129,1,,,,,,,
,,,Willy Adames,,30,SF,SS,,$13,$13,$7,$7,106,0.5,4.1,.329,26,28,137,11,,,,,,,
