,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Inflation Rate: 1.00 for Hitters / 1.00 for Pitchers,,,,,,,,,,,,Set your view options below:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bidding Team,,,,,,,,,,,,,,,Sort by Original Projected Auction Value,,,,,,,,,,,
,Player Auctioned,,,,,,,,,,,,,,,Show All Positions,,,,,,,,,,,
,Winning Bid $,,,,,,,,,,,,,,,Show Drafted Players,,,,,,,,,,,
,,(0 total players drafted),,,,,,,,,,,,,,Show Stats,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,,,,,,Proj $ Value,Inflated Proj $,Site $ Value,Inflated Site $,,,,W,Sv + Hld,K,ERA,WHIP,,,,,,,
Drafted By,Cost,,(Clicking on an undrafted player moves them to the box above),Note,Age,Tm,Main Pos,Other Elig Pos,,,,,Exp Rank,Total WERTH,Pos Adj WERTH,OBP,HR,2B + 3B,R + RBI - HR,SB,,,,,,,
,,,Ketel Marte,,32,ARI,2B,,$17,$17,$14,$14,26,1.7,5.1,.361,26,32,133,5,,,,,,,
,,,Trea Turner,,32,PHI,SS,,$17,$17,$15,$15,24,2.1,5.1,.337,18,32,134,27,,,,,,,
,,,Kyle Schwarber,,32,PHI,DH,,$17,$17,$18,$18,21,2.5,5.0,.356,41,21,153,7,,,,,,,
,,,Josh Naylor,,28,SEA,1B,,$17,$17,$10,$10,58,0.6,4.9,.348,23,27,130,18,,,,,,,
,,,Zach Neto,,25,LAA,SS,,$16,$16,$14,$14,30,1.8,4.8,.315,27,32,129,26,,,,,,,
,,,Yoshinobu Yamamoto,,27,LAD,SP,,$16,$16,$12,$12,28,3.0,5.0,12,0,177,3.34,1.13,,,,,,,
,,,Geraldo Perdomo,,26,ARI,SS,,$16,$16,$8,$8,72,1.6,4.6,.367,13,31,132,21,,,,,,,
,,,George Kirby,,28,SEA,SP,,$16,$16,$10,$10,56,2.9,4.8,11,0,163,3.49,1.08,,,,,,,
,,,Cole Ragans,,28,KC,SP,,$16,$16,$10,$10,45,2.9,4.8,10,0,184,3.29,1.11,,,,,,,
,,,Wyatt Langford,,24,TEX,OF,,$15,$15,$11,$11,48,1.8,4.4,.345,23,31,128,21,,,,,,,
,,,CJ Abrams,,25,WSN,SS,,$15,$15,$9,$9,60,1.4,4.3,.300,20,35,129,30,,,,,,,
,,,Manny Machado,,33,SD,3B,,$15,$15,$11,$11,31,-0.3,4.3,.333,26,27,133,9,,,,,,,
,,,Vinnie Pasquantino,,28,KC,1B,,$15,$15,$9,$9,70,-0.1,4.3,.332,27,32,129,1,,,,,,,
,,,Mason Miller,,27,SD,RP,,$14,$14,$10,$10,53,0.7,4.1,4,32,105,2.51,0.97,,,,,,,
,,,Dylan Cease,,30,TOR,SP,,$13,$13,$7,$7,65,2.1,4.1,12,0,210,3.60,1.18,,,,,,,
,,,Matt Chapman,,32,SF,3B,,$13,$13,$6,$6,135,-0.7,3.8,.332,23,29,126,8,,,,,,,
,,,Nathan Eovaldi,,36,TEX,SP,,$13,$13,$8,$8,121,2.0,3.9,10,0,143,3.44,1.08,,,,,,,
,,,Framber Valdez,,32,DET,SP,,$13,$13,$8,$8,74,2.0,3.9,13,0,175,3.41,1.21,,,,,,,
,,,Hunter Greene,,26,CIN,SP,,$13,$13,$10,$10,44,1.9,3.8,10,0,189,3.71,1.10,,,,,,,
,,,Roman Anthony,,21,BOS,OF,,$12,$12,$8,$8,49,0.9,3.5,.371,18,32,125,9,,,,,,,
,,,Spencer Torkelson,,26,DET,1B,,$12,$12,$5,$5,162,-0.8,3.5,.320,27,29,133,2,,,,,,,
,,,Riley Greene,,25,DET,OF,,$12,$12,$12,$12,54,0.8,3.4,.344,28,29,142,3,,,,,,,
,,,Yandy Díaz,,34,TB,1B,,$12,$12,$8,$8,100,-0.9,3.4,.365,20,28,123,2,,,,,,,
,,,Jesús Luzardo,,28,PHI,SP,,$11,$11,$8,$8,68,1.5,3.5,12,0,190,3.66,1.17,,,,,,,
,,,Joe Ryan,Inj,29,MIN,SP,,$11,$11,$9,$9,63,1.5,3.4,11,0,178,3.80,1.10,,,,,,,
,,,Alex Bregman,,31,CHC,3B,,$11,$11,$6,$6,92,-1.2,3.3,.340,21,29,125,2,,,,,,,
,,,Austin Riley,,28,ATL,3B,,$11,$11,$11,$11,51,-1.3,3.3,.319,26,30,126,3,,,,,,,
,,,Willy Adames,,30,SF,SS,,$11,$11,$7,$7,106,0.3,3.2,.329,26,28,137,11,,,,,,,
,,,Yordan Alvarez,,28,HOU,OF,,$11,$11,$16,$16,27,0.6,3.2,.387,28,28,118,3,,,,,,,
,,,Tyler Soderstrom,,24,ATH,1B,OF,$11,$11,$7,$7,89,-1.6,3.2,.326,25,28,118,5,,,,,,,
,,,Sonny Gray,,36,BOS,SP,,$11,$11,$7,$7,109,1.3,3.2,11,0,181,3.66,1.16,,,,,,,
,,,Michael Busch,,28,CHC,1B,,$11,$11,$5,$5,97,-1.2,3.1,.329,26,28,125,3,,,,,,,
,,,Ian Happ,,31,CHC,OF,,$10,$10,$6,$6,150,0.4,3.0,.344,22,31,131,8,,,,,,,
,,,Hunter Goodman,,26,COL,C,,$10,$10,$6,$6,84,-1.7,3.0,.305,28,31,119,2,,,,,,,
,,,Nico Hoerner,,28,CHC,2B,,$10,$10,$6,$6,96,-0.4,3.0,.332,8,31,126,26,,,,,,,
,,,Brice Turang,,26,MIL,2B,,$10,$10,$8,$8,57,-0.4,3.0,.331,14,28,125,27,,,,,,,
,,,Ceddanne Rafaela,,25,BOS,2B,OF,$10,$10,$5,$5,145,-1.0,2.9,.297,17,32,123,21,,,,,,,
,,,Jazz Chisholm Jr.,,28,NYY,2B,3B,$10,$10,$13,$13,22,-1.0,2.9,.316,27,20,123,30,,,,,,,
,,,Eugenio Suárez,,34,CIN,3B,,$10,$10,$9,$9,90,-1.7,2.9,.304,34,24,133,3,,,,,,,
,,,Jakob Marsee,,24,MIA,OF,,$10,$10,$3,$3,140,0.3,2.9,.323,14,31,117,34,,,,,,,
,,,Edwin Díaz,,31,LAD,RP,,$10,$10,$8,$8,52,-0.5,2.9,4,40,93,3.09,1.06,,,,,,,
,,,Cade Smith,,26,CLE,RP,,$9,$9,$8,$8,82,-0.6,2.8,4,31,93,2.87,1.06,,,,,,,
,,,Jose Altuve,,35,HOU,2B,OF,$9,$9,$7,$7,99,-1.2,2.7,.343,20,26,122,12,,,,,,,
,,,Jackson Merrill,,22,SD,OF,,$9,$9,$10,$10,59,0.1,2.7,.325,22,35,125,6,,,,,,,
,,,Bo Bichette,,27,NYM,SS,,$9,$9,$10,$10,78,-0.3,2.7,.337,18,32,132,5,,,,,,,
,,,Randy Arozarena,,30,SEA,OF,,$9,$9,$8,$8,83,0.1,2.7,.312,22,28,132,24,,,,,,,
,,,Shea Langeliers,,28,ATH,C,,$9,$9,$6,$6,69,-2.1,2.6,.315,29,26,119,5,,,,,,,
,,,Luis Arraez,,28,SF,2B,1B,$9,$9,$5,$5,244,-1.3,2.6,.373,6,30,119,8,,,,,,,
,,,Seiya Suzuki,,31,CHC,OF,,$9,$9,$9,$9,81,-0.1,2.5,.340,24,29,130,7,,,,,,,
,,,Josh Hader,Inj,31,HOU,RP,,$8,$8,$5,$5,130,-0.9,2.6,4,34,87,3.03,1.03,,,,,,,
,,,Cody Bellinger,,30,NYY,OF,,$8,$8,$10,$10,61,-0.1,2.4,.332,24,27,137,11,,,,,,,
,,,Agustín Ramírez,,24,MIA,C,,$8,$8,$1,$1,114,-2.4,2.3,.309,20,28,117,13,,,,,,,
,,,Ben Rice,,27,NYY,C,1B,$8,$8,$3,$3,75,-3.0,2.2,.330,25,25,113,4,,,,,,,
,,,Jeremy Peña,,28,HOU,SS,,$8,$8,$10,$10,80,-0.8,2.2,.325,18,30,123,18,,,,,,,
,,,Miguel Vargas,,26,CHW,3B,1B,$8,$8,$1,$1,274,-2.8,2.2,.324,16,30,110,7,,,,,,,
,,,Nick Pivetta,,33,SD,SP,,$7,$7,$6,$6,85,0.3,2.2,11,0,181,3.90,1.15,,,,,,,
,,,Bryson Stott,,28,PHI,2B,SS,$7,$7,$4,$4,202,-1.8,2.1,.333,13,27,113,23,,,,,,,
,,,Gleyber Torres,,29,DET,2B,,$7,$7,$5,$5,199,-1.3,2.1,.344,18,28,127,6,,,,,,,
,,,Jhoan Duran,,28,PHI,RP,,$7,$7,$7,$7,66,-1.3,2.1,4,32,79,2.86,1.11,,,,,,,
,,,Ezequiel Tovar,,24,COL,SS,,$7,$7,$7,$7,200,-1.0,2.0,.303,20,37,117,8,,,,,,,
,,,Freddy Peralta,,29,NYM,SP,,$7,$7,$6,$6,55,0.1,2.1,11,0,186,3.80,1.19,,,,,,,
,,,Oneil Cruz,,27,PIT,OF,,$7,$7,$6,$6,93,-0.6,2.0,.335,21,24,112,29,,,,,,,
,,,Michael Harris II,,24,ATL,OF,,$7,$7,$8,$8,91,-0.6,2.0,.306,21,32,122,18,,,,,,,
,,,Alec Bohm,,29,PHI,3B,1B,$7,$7,$3,$3,235,-3.1,1.9,.338,15,27,117,3,,,,,,,
,,,Abner Uribe,,25,MIL,RP,,$6,$6,$2,$2,245,-1.5,1.9,4,36,86,3.02,1.17,,,,,,,
,,,Luis Castillo,,33,SEA,SP,,$6,$6,$5,$5,129,-0.1,1.9,11,0,165,3.82,1.17,,,,,,,
,,,Steven Kwan,,28,CLE,OF,,$6,$6,$6,$6,148,-0.8,1.8,.346,11,29,123,19,,,,,,,
,,,Lawrence Butler,,25,ATH,OF,,$6,$6,$6,$6,138,-0.8,1.7,.324,21,28,119,19,,,,,,,
,,,Alec Burleson,,27,STL,1B,OF,$6,$6,$6,$6,174,-3.1,1.7,.334,19,26,111,6,,,,,,,
,,,Byron Buxton,,32,MIN,OF,,$6,$6,$10,$10,79,-0.9,1.7,.319,26,28,113,17,,,,,,,
,,,Salvador Perez,,35,KC,C,1B,$6,$6,$4,$4,107,-3.6,1.6,.295,26,28,115,0,,,,,,,
,,,Daylen Lile,,23,WSN,OF,,$6,$6,$2,$2,205,-1.0,1.6,.331,11,36,112,14,,,,,,,
,,,Griffin Jax,,31,TB,RP,,$5,$5,$3,$3,239,-1.8,1.6,4,20,92,2.99,1.06,,,,,,,
,,,Ranger Suárez,,30,BOS,SP,,$5,$5,$5,$5,139,-0.3,1.6,11,0,150,3.57,1.22,,,,,,,
,,,Adley Rutschman,,28,BAL,C,,$5,$5,$1,$1,167,-3.2,1.5,.345,17,27,110,1,,,,,,,
,,,Devin Williams,,31,NYM,RP,,$5,$5,$6,$6,110,-1.8,1.6,4,33,85,3.03,1.13,,,,,,,
,,,Grant Taylor,,23,CHW,RP,,$5,$5,$2,$2,329,-1.9,1.6,4,23,95,3.22,1.12,,,,,,,
,,,Andy Pages,,25,LAD,OF,,$5,$5,$7,$7,127,-1.1,1.5,.309,24,30,124,10,,,,,,,
,,,Caleb Durbin,,26,BOS,3B,2B,$5,$5,$2,$2,251,-3.6,1.5,.316,11,27,103,21,,,,,,,
,,,Andrés Muñoz,,27,SEA,RP,,$5,$5,$6,$6,67,-1.9,1.5,3,33,78,2.87,1.12,,,,,,,
,,,Kevin Gausman,,35,TOR,SP,,$5,$5,$5,$5,94,-0.4,1.5,11,0,176,3.92,1.19,,,,,,,
,,,Teoscar Hernández,,33,LAD,OF,,$5,$5,$9,$9,108,-1.1,1.4,.323,26,28,128,6,,,,,,,
,,,David Bednar,,31,NYY,RP,,$5,$5,$5,$5,101,-1.9,1.5,4,33,80,3.22,1.11,,,,,,,
,,,Xavier Edwards,,26,MIA,2B,SS,$5,$5,$3,$3,161,-2.5,1.4,.345,4,27,107,26,,,,,,,
,,,Taylor Ward,,32,BAL,OF,,$5,$5,$7,$7,137,-1.2,1.4,.331,26,27,126,4,,,,,,,
,,,Addison Barger,,26,TOR,3B,OF,$5,$5,$1,$1,198,-3.7,1.4,.325,19,27,105,4,,,,,,,
,,,Aroldis Chapman,,37,BOS,RP,,$5,$5,$6,$6,102,-2.0,1.4,4,35,79,2.99,1.13,,,,,,,
,,,Munetaka Murakami,,26,CHW,3B,,$5,$5,$3,$3,227,-3.2,1.3,.345,28,17,112,8,,,,,,,
,,,Masyn Winn,,23,STL,SS,,$5,$5,$3,$3,250,-1.7,1.3,.313,15,32,122,12,,,,,,,
,,,Tanner Bibee,,26,CLE,SP,,$4,$4,$4,$4,152,-0.6,1.3,11,0,168,3.88,1.19,,,,,,,
,,,Shane McClanahan,Inj,28,TB,SP,,$4,$4,$4,$4,195,-0.6,1.3,7,0,129,3.35,1.13,,,,,,,
,,,George Springer,,36,TOR,OF,,$4,$4,$10,$10,77,-1.4,1.2,.335,23,24,124,13,,,,,,,
,,,Jung Hoo Lee,,27,SF,OF,,$4,$4,$2,$2,273,-1.4,1.2,.338,9,38,107,9,,,,,,,
,,,Iván Herrera,,25,STL,C,,$4,$4,$3,$3,155,-3.5,1.2,.365,17,22,104,9,,,,,,,
,,,Ozzie Albies,,29,ATL,2B,,$4,$4,$4,$4,125,-2.2,1.2,.311,18,30,119,11,,,,,,,
,,,Nolan Schanuel,,24,LAA,1B,,$4,$4,$1,$1,265,-3.2,1.1,.353,15,24,109,6,,,,,,,
,,,Marcus Semien,,35,NYM,2B,,$4,$4,$3,$3,182,-2.3,1.1,.318,19,26,126,9,,,,,,,
,,,Bryan Reynolds,,31,PIT,OF,,$3,$3,$5,$5,160,-1.6,1.0,.331,19,30,122,5,,,,,,,
,,,Tyler Glasnow,,32,LAD,SP,,$3,$3,$5,$5,95,-1.0,1.0,9,0,148,3.65,1.16,,,,,,,
,,,Drew Rasmussen,,30,TB,SP,,$3,$3,$5,$5,146,-1.1,0.8,9,0,131,3.67,1.17,,,,,,,
