"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","AB","H","2B+3B","HR","SB","OBP","RP","GP"
"*02btf*","Mookie Betts","LAD","SS","133","FA","","73.8","99%","0%","562","154","30","22","9",".355","164","142"
"*03ae8*","Dansby Swanson","CHC","SS","135","FA","","73.66","97%","0%","578","141","28","23","19",".309","133","152"
"*030uc*","Rafael Devers","SF","1B","142","FA","NYY Wed 8:05PM","73.1","99%","0%","580","147","29","33","1",".349","161","154"
"*05u2v*","Hunter Goodman","COL","C","144","FA","","72.67","100%","0%","541","136","36","31","1",".309","122","142"
"*03nmw*","Ian Happ","CHC","OF","145","FA","","72.62","98%","0%","573","141","34","24","7",".348","143","152"
"*03yrz*","William Contreras","MIL","C","146","FA","","72.55","100%","0%","558","154","33","19","6",".368","160","151"
"*05gsi*","Ceddanne Rafaela","BOS","2B,OF","148","FA","","72.48","99%","0%","551","137","36","17","20",".290","130","155"
"*04yk2*","Spencer Torkelson","DET","1B","149","FA","","72.44","99%","0%","594","144","32","31","2",".331","134","156"
"*025he*","George Springer","TOR","OF","150","FA","","72.4","99%","0%","522","138","26","24","17",".350","139","138"
"*04nb2*","Riley Greene","DET","OF","152","FA","","72.27","100%","0%","589","150","34","29","3",".321","144","154"
"*0326s*","Ketel Marte","ARI","2B","153","FA","","72.25","100%","0%","505","147","28","30","6",".380","146","131"
"*02xic*","Teoscar Hernandez","LAD","OF","155","FA","","71.87","99%","0%","562","143","32","28","7",".306","147","146"
"*05gtn*","Tyler Soderstrom","ATH","1B,OF","156","FA","","71.85","100%","0%","576","149","34","26","7",".333","132","157"
"*04355*","Yordan Alvarez","HOU","OF","157","FA","","71.73","100%","0%","501","149","31","31","3",".395","135","132"
"*04b02*","Seiya Suzuki","CHC","OF,UT","158","FA","","71.7","99%","0%","554","146","35","26","6",".345","138","146"
"*04pr1*","Steven Kwan","CLE","OF","160","FA","","71.66","99%","0%","617","171","31","10","21",".346","133","154"
"*03120*","Cody Bellinger","NYY","OF","163","FA","@SF Wed 8:05PM","71.2","99%","0%","546","143","29","26","11",".324","139","139"
"*04t9b*","Michael Busch","CHC","1B","164","FA","","71.15","100%","0%","530","135","31","31","4",".341","130","149"
"*02mw3*","Christian Walker","HOU","1B","165","FA","","70.9","95%","0%","580","142","29","31","2",".318","144","154"
"*041qb*","Bo Bichette","NYM","SS","170","FA","","70.68","100%","0%","584","171","38","17","6",".338","139","140"
"*03pje*","Taylor Ward","BAL","OF","171","FA","","70.41","98%","0%","578","138","31","27","5",".326","142","154"
"*05ua7*","Jackson Merrill","SD","OF","173","FA","","70.15","100%","0%","536","149","37","20","9",".327","134","134"
"*04ru5*","Andy Pages","LAD","OF","174","FA","","70.04","99%","0%","558","146","29","22","13",".318","137","148"
"*05zh9*","Luke Keaschall","MIN","2B","180","FA","","69.73","99%","0%","505","134","29","13","24",".366","115","138"
"*04mra*","Ezequiel Tovar","COL","SS","181","FA","","69.72","90%","-1%","611","159","43","20","7",".293","113","148"
"*04o4s*","Shea Langeliers","ATH","C","182","FA","","69.66","100%","0%","480","125","27","30","7",".319","116","127"
"*03e5m*","Bryan Reynolds","PIT","OF","184","FA","","69.51","96%","0%","603","158","37","21","4",".334","129","154"
"*024m0*","Jose Altuve","HOU","2B,OF","186","FA","","69.34","99%","0%","579","155","28","21","11",".333","134","144"
"*03pom*","Austin Riley","ATL","3B","187","FA","","69.29","100%","0%","547","148","33","28","1",".337","133","138"
"*04ee8*","Heliot Ramos","SF","OF","189","FA","NYY Wed 8:05PM","68.72","96%","0%","620","157","29","23","6",".325","135","156"
"*05ras*","Colton Cowser","BAL","OF","190","FA","","68.68","90%","-1%","483","108","24","22","23",".311","119","134"
"*02w7p*","Alex Bregman","CHC","3B","192","FA","","68.54","99%","0%","551","146","32","25","1",".346","139","139"
