,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Inflation Rate: 1.00 for Hitters / 1.00 for Pitchers,,,,,,,,,,,,Set your view options below:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bidding Team,,,,,,,,,,,,,,,Sort by Original Projected Auction Value,,,,,,,,,,,
,Player Auctioned,,,,,,,,,,,,,,,Show All Positions,,,,,,,,,,,
,Winning Bid $,,,,,,,,,,,,,,,Show Drafted Players,,,,,,,,,,,
,,(0 total players drafted),,,,,,,,,,,,,,Show Stats,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Name,,,,,,Proj $ Value,Inflated Proj $,Site $ Value,Inflated Site $,,,,W,Sv + Hld,K,ERA,WHIP,,,,,,,
Drafted By,Cost,,(Clicking on an undrafted player moves them to the box above),Note,Age,Tm,Main Pos,Other Elig Pos,,,,,Exp Rank,Total WERTH,Pos Adj WERTH,OBP,HR,2B + 3B,R + RBI - HR,SB,,,,,,,
,,,William Contreras,,28,MIL,C,,$16,$16,$6,$6,62,1.5,5.6,.382,19,27,135,6,,,,,,,
,,,Max Fried,,32,NYY,SP,,$16,$16,$12,$12,47,5.4,7.5,14,0,170,3.28,1.15,,,,,,,
,,,Zack Wheeler,Inj,35,PHI,SP,,$16,$16,$10,$10,128,5.4,7.5,11,0,167,3.21,1.04,,,,,,,
,,,Chris Sale,,36,ATL,SP,,$15,$15,$13,$13,37,5.3,7.3,11,0,182,3.26,1.07,,,,,,,
,,,Hunter Brown,,27,HOU,SP,,$15,$15,$10,$10,36,5.2,7.3,13,0,198,3.38,1.15,,,,,,,
,,,Jacob deGrom,,37,TEX,SP,,$15,$15,$12,$12,43,5.1,7.2,10,0,171,3.37,1.05,,,,,,,
,,,CJ Abrams,,25,WSN,SS,,$15,$15,$9,$9,60,1.9,5.3,.300,20,35,129,30,,,,,,,
,,,Josh Naylor,,28,SEA,1B,,$14,$14,$10,$10,58,1.2,5.0,.348,23,27,130,18,,,,,,,
,,,Yoshinobu Yamamoto,,27,LAD,SP,,$14,$14,$12,$12,28,4.5,6.6,12,0,177,3.34,1.13,,,,,,,
,,,Roman Anthony,,21,BOS,OF,,$14,$14,$8,$8,49,1.5,4.8,.371,18,32,125,9,,,,,,,
,,,Cole Ragans,,28,KC,SP,,$13,$13,$10,$10,45,4.3,6.4,10,0,184,3.29,1.11,,,,,,,
,,,George Kirby,,28,SEA,SP,,$13,$13,$10,$10,56,4.3,6.4,11,0,163,3.49,1.08,,,,,,,
,,,Riley Greene,,25,DET,OF,,$13,$13,$12,$12,54,1.3,4.7,.344,28,29,142,3,,,,,,,
,,,Yordan Alvarez,,28,HOU,OF,,$13,$13,$16,$16,27,1.3,4.6,.387,28,28,118,3,,,,,,,
,,,Ian Happ,,31,CHC,OF,,$12,$12,$6,$6,150,1.0,4.3,.344,22,31,131,8,,,,,,,
,,,Jakob Marsee,,24,MIA,OF,,$12,$12,$3,$3,140,0.9,4.3,.323,14,31,117,34,,,,,,,
,,,Vinnie Pasquantino,,28,KC,1B,,$12,$12,$9,$9,70,0.4,4.2,.332,27,32,129,1,,,,,,,
,,,Dylan Cease,,30,TOR,SP,,$12,$12,$7,$7,65,3.6,5.7,12,0,210,3.60,1.18,,,,,,,
,,,Willy Adames,,30,SF,SS,,$12,$12,$7,$7,106,0.8,4.2,.329,26,28,137,11,,,,,,,
,,,Manny Machado,,33,SD,3B,,$12,$12,$11,$11,31,0.3,4.2,.333,26,27,133,9,,,,,,,
,,,Framber Valdez,,32,DET,SP,,$12,$12,$8,$8,74,3.5,5.6,13,0,175,3.41,1.21,,,,,,,
,,,Nathan Eovaldi,,36,TEX,SP,,$12,$12,$8,$8,121,3.4,5.5,10,0,143,3.44,1.08,,,,,,,
,,,Hunter Greene,,26,CIN,SP,,$11,$11,$10,$10,44,3.3,5.4,10,0,189,3.71,1.10,,,,,,,
,,,Randy Arozarena,,30,SEA,OF,,$11,$11,$8,$8,83,0.6,4.0,.312,22,28,132,24,,,,,,,
,,,Jackson Merrill,,22,SD,OF,,$11,$11,$10,$10,59,0.5,3.9,.325,22,35,125,6,,,,,,,
,,,Seiya Suzuki,,31,CHC,OF,,$11,$11,$9,$9,81,0.4,3.8,.340,24,29,130,7,,,,,,,
,,,Jesús Luzardo,,28,PHI,SP,,$11,$11,$8,$8,68,3.0,5.1,12,0,190,3.66,1.17,,,,,,,
,,,Cody Bellinger,,30,NYY,OF,,$11,$11,$10,$10,61,0.4,3.7,.332,24,27,137,11,,,,,,,
,,,Mason Miller,,27,SD,RP,,$11,$11,$10,$10,53,2.4,5.1,4,32,105,2.51,0.97,,,,,,,
,,,Joe Ryan,Inj,29,MIN,SP,,$10,$10,$9,$9,63,2.9,5.0,11,0,178,3.80,1.10,,,,,,,
,,,Brice Turang,,26,MIL,2B,,$10,$10,$8,$8,57,0.2,3.7,.331,14,28,125,27,,,,,,,
,,,Nico Hoerner,,28,CHC,2B,,$10,$10,$6,$6,96,0.2,3.7,.332,8,31,126,26,,,,,,,
,,,Matt Chapman,,32,SF,3B,,$10,$10,$6,$6,135,-0.2,3.7,.332,23,29,126,8,,,,,,,
,,,Jazz Chisholm Jr.,,28,NYY,2B,3B,$10,$10,$13,$13,22,-0.3,3.7,.316,27,20,123,30,,,,,,,
,,,Sonny Gray,,36,BOS,SP,,$10,$10,$7,$7,109,2.8,4.9,11,0,181,3.66,1.16,,,,,,,
,,,Bo Bichette,,27,NYM,SS,,$10,$10,$10,$10,78,0.2,3.6,.337,18,32,132,5,,,,,,,
,,,Yandy Díaz,,34,TB,1B,,$10,$10,$8,$8,100,-0.3,3.5,.365,20,28,123,2,,,,,,,
,,,Spencer Torkelson,,26,DET,1B,,$10,$10,$5,$5,162,-0.3,3.5,.320,27,29,133,2,,,,,,,
,,,Oneil Cruz,,27,PIT,OF,,$10,$10,$6,$6,93,0.1,3.4,.335,21,24,112,29,,,,,,,
,,,Ceddanne Rafaela,,25,BOS,OF,2B,$10,$10,$5,$5,145,-0.5,3.4,.297,17,32,123,21,,,,,,,
,,,Luis Arraez,,28,SF,2B,1B,$9,$9,$5,$5,244,-0.6,3.3,.373,6,30,119,8,,,,,,,
,,,Jose Altuve,,35,HOU,OF,2B,$9,$9,$7,$7,99,-0.6,3.3,.343,20,26,122,12,,,,,,,
,,,Michael Harris II,,24,ATL,OF,,$9,$9,$8,$8,91,-0.1,3.3,.306,21,32,122,18,,,,,,,
,,,Alex Bregman,,31,CHC,3B,,$9,$9,$6,$6,92,-0.7,3.2,.340,21,29,125,2,,,,,,,
