"BP ID","Name","Position(s)","Team","$$$","%","PA","AB","HR","SB","OBP","Runs Prod.","2B + 3B","IP","W","SO","ERA","WHIP","SV+HLD"
"67148","Taijuan Walker","[""sp"",""rp"",""p""]","PHI","-19.89","50","0","0","0","0","0","0","0","97.7","5","67","5.25","1.42","4"
"111097","Ben Brown","[""sp"",""rp"",""p""]","CHC","-19.99","50","0","0","0","0","0","0","0","46.3","3","48","4.07","1.26","5"
"108258","Juan Morillo","[""rp"",""p""]","AZ","-20","50","0","0","0","0","0","0","0","28","2","27","4.62","1.44","4"
"105432","Yoán Moncada","[""3b"",""ci"",""u""]","LAA","-20","50","395","355","13","2","0.309","71","20","0","0","0","0","0","0"
"109138","Lourdes Gurriel Jr.","[""of"",""u""]","AZ","-20.02","50","390","363","11","6","0.306","79","19","0","0","0","0","0","0"
"102625","Joe Jiménez","[""rp"",""p""]","ATL","-20.05","50","0","0","0","0","0","0","0","16.3","1","17","3.35","1.12","3"
"104806","Rhys Hoskins","[""1b"",""ci"",""u""]","","-20.06","50","407","360","15","2","0.305","79","17","0","0","0","0","0","0"
"144355","Trevor McDonald","[""p""]","SF","-20.09","50","0","0","0","0","0","0","0","84.7","4","78","4.87","1.41","1"
"126235","Trevor Larnach","[""of"",""u""]","MIN","-20.2","50","400","360","13","4","0.319","76","18","0","0","0","0","0","0"
"148300","Jordan Lawlar","[""u""]","AZ","-20.21","50","389","352","10","10","0.29","72","21","0","0","0","0","0","0"
"144812","Sawyer Gipson-Long","[""rp"",""p""]","DET","-20.22","50","0","0","0","0","0","0","0","25.3","1","23","4.03","1.21","1"
"107155","Danny Young","[""rp"",""p""]","ATL","-20.3","50","0","0","0","0","0","0","0","21.7","1","25","4","1.29","3"
"112555","Luinder Avila","[""rp"",""p""]","KC","-20.34","50","0","0","0","0","0","0","0","28","1","27","4.45","1.37","4"
"110810","JP Sears","[""sp"",""p""]","SD","-20.36","50","0","0","0","0","0","0","0","57.7","3","49","4.52","1.24","1"
"129622","Garrett Mitchell","[""of"",""u""]","MIL","-20.38","50","394","357","8","18","0.286","66","20","0","0","0","0","0","0"
"109174","Jason Foley","[""rp"",""p""]","SF","-20.41","50","0","0","0","0","0","0","0","24","1","20","4.13","1.3","4"
"108975","Easton McGee","[""rp"",""p""]","MIL","-20.42","50","0","0","0","0","0","0","0","25.3","1","21","4.37","1.29","4"
"114186","Cody Bradford","[""sp"",""p""]","TEX","-20.44","50","0","0","0","0","0","0","0","43","3","38","3.71","1.17","1"
"125523","Ha-Seong Kim","[""ss"",""mi"",""u""]","ATL","-20.48","50","374","332","8","14","0.321","71","15","0","0","0","0","0","0"
