"BP ID","Name","Position(s)","Team","$$$","%","PA","AB","HR","SB","OBP","Runs Prod.","2B + 3B","IP","W","SO","ERA","WHIP","SV+HLD"
"151693","Noah Cameron","[""sp"",""p""]","KC","2.22","50","0","0","0","0","0","0","0","140.3","8","133","3.8","1.23","0"
"104258","Bryan Abreu","[""rp"",""p""]","HOU","2.17","50","0","0","0","0","0","0","0","59","4","78","3.38","1.17","27"
"105739","Garrett Cleavinger","[""rp"",""p""]","TB","2.16","50","0","0","0","0","0","0","0","61.3","4","77","3.37","1.16","27"
"153843","Sal Stewart","[""u""]","CIN","2.13","50","582","538","17","13","0.304","111","31","0","0","0","0","0","0"
"66719","Willson Contreras","[""1b"",""ci"",""u""]","BOS","2.1","50","577","508","20","3","0.329","119","28","0","0","0","0","0","0"
"111086","Wilyer Abreu","[""of"",""u""]","BOS","2.06","50","529","479","19","8","0.317","107","28","0","0","0","0","0","0"
"108274","Andrés Muñoz","[""rp"",""p""]","SEA","2.02","50","0","0","0","0","0","0","0","54.7","3","72","3.49","1.23","43"
"109094","Edwin Uceta","[""rp"",""p""]","TB","2.02","50","0","0","0","0","0","0","0","61.3","4","71","3.51","1.15","27"
"135874","Cole Sands","[""rp"",""p""]","MIN","1.97","50","0","0","0","0","0","0","0","69","4","62","3.9","1.2","35"
"139705","Miguel Vargas","[""3b"",""1b"",""ci"",""u""]","CHW","1.97","50","592","522","15","8","0.319","112","28","0","0","0","0","0","0"
"105425","Jeff Hoffman","[""rp"",""p""]","TOR","1.91","50","0","0","0","0","0","0","0","55","3","61","3.59","1.17","41"
"139369","Abner Uribe","[""rp"",""p""]","MIL","1.9","50","0","0","0","0","0","0","0","64","4","73","3.76","1.31","43"
"104004","Ozzie Albies","[""2b"",""mi"",""u""]","ATL","1.88","50","609","556","16","8","0.317","120","29","0","0","0","0","0","0"
"69516","Chris Bassitt","[""sp"",""p""]","BAL","1.86","50","0","0","0","0","0","0","0","160.3","9","151","4.3","1.28","0"
"139955","Alex Vesia","[""rp"",""p""]","LAD","1.86","50","0","0","0","0","0","0","0","53.3","4","63","2.86","1.04","22"
"102705","Emilio Pagán","[""rp"",""p""]","CIN","1.83","50","0","0","0","0","0","0","0","64","4","66","3.77","1.18","32"
"114683","Kris Bubic","[""sp"",""p""]","KC","1.79","50","0","0","0","0","0","0","0","131","8","136","3.71","1.24","0"
"70524","Brandon Nimmo","[""of"",""u""]","TEX","1.76","50","576","511","19","8","0.322","110","25","0","0","0","0","0","0"
"108053","Michael King","[""sp"",""p""]","SD","1.74","50","0","0","0","0","0","0","0","129.3","7","135","3.82","1.21","0"
"70327","Marcus Semien","[""2b"",""mi"",""u""]","NYM","1.68","50","628","566","20","7","0.31","123","27","0","0","0","0","0","0"
"66110","Eugenio Suárez","[""3b"",""ci"",""u""]","CIN","1.59","50","574","524","27","2","0.303","116","26","0","0","0","0","0","0"
"108937","Griffin Jax","[""rp"",""p""]","TB","1.55","50","0","0","0","0","0","0","0","55","3","68","2.83","1.08","25"
"106950","Jeffrey Springs","[""sp"",""p""]","SAC","1.49","50","0","0","0","0","0","0","0","157.3","9","135","4.37","1.27","0"
"148632","Brandon Pfaadt","[""sp"",""p""]","AZ","1.44","50","0","0","0","0","0","0","0","148.7","8","127","4.27","1.24","0"
"118309","Reid Detmers","[""rp"",""p""]","LAA","1.4","50","0","0","0","0","0","0","0","119","5","139","4.18","1.28","0"
"67156","Christian Yelich","[""u""]","MIL","1.39","50","569","507","16","15","0.326","114","24","0","0","0","0","0","0"
